id,name,popularity,duration_ms,album_name,release_date,artist_name,genre,artist_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
7H6ev70Weq6DdpZyyTmUXk,Say My Name,76,271333,The Writing's On The Wall,1999-07-27,Destiny's Child,dance pop,75,0.713,0.678,-3.525,0.102,0.273,0,0.149,0.734,138.009,1999
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,79,233933,The Better Life,2000,3 Doors Down,alternative metal,72,0.545,0.865,-5.708,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,2000
3MjUtNVVq3C8Fn0MP3zhXa,Baby One More Time,77,211066,Baby One More Time (Digital Deluxe Version),1999-01-12,Britney Spears,dance pop,82,0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,1999
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,78,211160,Oops!... I Did It Again,2000-05-16,Britney Spears,dance pop,82,0.751,0.834,-5.444,0.0437,0.3,1.77E-05,0.355,0.894,95.053,2000
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),80,231400,Mail on Sunday,2008-03-17,Flo Rida,dance pop,80,0.918,0.609,-5.64,0.0791,0.0928,0,0.139,0.304,128.008,2008
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),82,250373,Confessions (Expanded Edition),2004-03-23,Usher,atl hip hop,83,0.894,0.791,-4.699,0.112,0.0183,0,0.0388,0.583,105.018,2004
4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,80,289133,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,Black Eyed Peas,dance pop,83,0.743,0.766,-6.375,0.0265,0.0873,0,0.509,0.61,127.96,2009
3oDFtOhcN08qeDPAK6MEQG,Boom Boom Pow,70,251440,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,Black Eyed Peas,dance pop,83,0.867,0.857,-5.892,0.0663,0.13,0.00171,0.13,0.402,130.048,2009
3UhXPxLDFKCj1ZO6mmtV0a,Apologize,73,208106,Dreaming Out Loud,2007-11-20,OneRepublic,dance pop,83,0.593,0.74,-6.12,0.0339,0.363,2.22E-05,0.102,0.502,118.008,2007
1IAzD1muglOxOcPbUHs70R,Whatever You Like,75,249533,Paper Trail,2008-09-07,T.I,atl hip hop,78,0.68,0.687,-6.162,0.0709,0.0161,0,0.261,0.467,150.053,2008
3jlbL2OTD5YmIunYzgQTAN,Live Your Life,75,338853,Paper Trail,2008-09-07,T.I,atl hip hop,78,0.375,0.862,-3.363,0.255,0.071,0,0.211,0.478,159.841,2008
7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,78,262466,Spirit,2007,Leona Lewis,british soul,74,0.638,0.656,-5.886,0.0357,0.188,0,0.146,0.225,104.036,2007
4ZOyH6KjomjlqCz3oFqglr,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,66,187840,This Is Me...Then,2002-11-19,Jennifer Lopez,dance pop,79,0.844,0.754,-5.46,0.207,0.00833,3.42E-06,0.0575,0.961,100.002,2002
3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me,74,291781,Country Grammar,2000-06-27,Nelly,dance pop,77,0.85,0.7,-6.49,0.0478,0.0616,1.80E-06,0.244,0.722,101.875,2000
2Mpj1Ul5OFPyyP4wB62Rvi,Survivor,71,254026,Survivor,2001-05-01,Destiny's Child,dance pop,75,0.514,0.911,-2.027,0.41,0.0559,0,0.775,0.619,161.109,2001
6zsk6uF3MxfIeHPlubKBvR,Get Ur Freak On,69,211120,Miss E... So Addictive,2001-05-14,Missy Elliott,dance pop,74,0.797,0.75,-9.369,0.247,0.533,0.108,0.095,0.74,177.87,2001
2YHIP0JrmNPJxwuUE45o7l,With Arms Wide Open,56,278440,Throwback Songs,2020-11-06,Various Artists,None,0,0.415,0.533,-8.445,0.0308,0.0037,0.000732,0.176,0.126,138.929,2020
41nT1Sp6ChR65FbsdLlFHW,Bootylicious,64,207906,Survivor,2001-05-01,Destiny's Child,dance pop,75,0.84,0.835,-4.386,0.275,0.00281,1.11E-06,0.152,0.637,103.376,2001
04KTF78FFg8sOHC1BADqbY,Hot In Herre,72,228240,Nellyville,2002-06-25,Nelly,dance pop,77,0.956,0.745,-4.753,0.12,0.206,0,0.0615,0.912,107.075,2002
6Qm9MaditCcx5V62rVHYqu,A Thousand Miles,61,237440,Best Of,2011-01-01,Vanessa Carlton,dance pop,65,0.488,0.833,-3.876,0.0387,0.273,0,0.192,0.257,94.841,2011
5xEM5hIgJ1jjgcEBfpkt2F,Complicated,78,244506,Let Go,2002-06-04,Avril Lavigne,canadian pop,78,0.585,0.776,-5.898,0.0459,0.0572,7.74E-06,0.3,0.427,77.987,2002
2HpWHLtZldOcDn5qzX8kb2,Can't Get You out of My Head,38,231715,Can't Get You out of My Head,2001,Kylie Minogue,australian dance,78,0.768,0.59,-7.485,0.0335,0.0257,0.603,0.0865,0.964,126.009,2001
6vrUTGn5p8IrfTZ0J6sIVM,Iris,74,289906,Greatest Hits Volume One - The Singles,2007-11-06,The Goo Goo Dolls,alternative rock,71,0.291,0.79,-5.683,0.0363,0.00133,5.61E-06,0.0811,0.513,155.667,2007
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),76,236133,Dangerously In Love,2003-06-24,Beyoncé,dance pop,87,0.646,0.77,-6.596,0.226,0.00249,0,0.0715,0.681,99.165,2003
4WY3HyGXsWqjFRCVD6gnTe,Baby Boy (feat. Sean Paul),65,244826,Dangerously In Love,2003-06-24,Beyoncé,dance pop,87,0.655,0.488,-9.17,0.22,0.0825,1.16E-06,0.221,0.791,91.025,2003
7Lf7oSEVdzZqTA0kEDSlS5,Cry Me a River,74,288333,Justified,2002-11-04,Justin Timberlake,dance pop,82,0.624,0.653,-6.582,0.176,0.575,0,0.104,0.565,73.884,2002
1AWQoqb9bSvzTjaLralEkT,Rock Your Body,72,267266,Justified,2002-11-04,Justin Timberlake,dance pop,82,0.891,0.714,-6.055,0.14,0.202,0.000234,0.0521,0.818,100.972,2002
2WQ09wqQBIOor7Q0VpIDBK,Rock That Body,59,268840,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,Black Eyed Peas,dance pop,83,0.715,0.907,-6.025,0.0993,0.0172,8.39E-05,0.426,0.841,124.992,2009
6YgV0EF8xJMZz0Zm6BTaT4,This Love,68,206200,Songs About Jane,2002-06-25,Maroon 5,pop,87,0.712,0.862,-4.612,0.0378,0.0525,0,0.093,0.809,95.051,2002
